drugbank_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
DB00006,-2.1103601,-3.9157834,-3.7473874,-0.9884931,-2.8909457,-3.3179603,-1.4516792,0.99718195,1.2133112,-1.7904367,5.867069,1.5798695,-3.787595,2.0334496,-0.96775055,3.4129386,-0.10012841,2.8041766,0.94208777,3.2290099,3.3665512,3.1568081,4.8953743,-4.686808,5.896174,3.1993337,-5.685066,-2.0614111,-2.900482,-1.5138942,3.5865397,-6.777203,3.4694276,1.191131,-2.919796,3.472524,0.4089614,-0.66499245,0.21768148,-1.2325982,-2.445021,-0.14260083,7.9929104,-1.9481206,-5.277077,0.25518054,1.44556,-2.0785577,-0.2919444,-3.144952,-1.2214644,3.127529,-1.1235765,0.20075333,2.045075,3.475854,0.55088204,-5.7966013,5.537856,2.321523,3.0295765,-1.5072334,-0.76013106,-0.32760152,-0.58068305,1.4701295,0.74042225,-2.22541,-2.1021385,-0.12897778,0.56787914,6.230035,2.9044394,-3.894639,-1.5999877,-1.8668971,2.0387442,-0.03065505,-1.2892065,0.3655938,4.285756,-3.1012518,-6.7376723,4.730983,-2.9654121,-0.2919344,1.4925051,-4.4399767,-1.5629218,2.2046375,3.2081692,2.655648,-2.6053314,1.4853591,-1.3946761,-2.153228,-0.0037905793,-2.8663054,4.172029,-2.8197,0.9919221,-2.133609,6.2885303,-0.7351087,-0.8889537,-1.3962563,-2.0142405,-0.19553733,0.88739866,1.9208763,-8.576418,-0.0955122,-2.1370277,-0.38510448,-4.0581346,-0.94919044,-2.8757715,0.71347135,2.924916,2.4126344,0.7423084,0.018435666,-0.08150507,-3.6198661,-3.4821885,-1.1635876,-2.0792108,-2.7035844
DB00007,-0.9148651,-2.3038206,-1.6959652,4.103105,-1.3840082,-0.36244154,-3.638995,-0.30080718,2.054572,1.6488947,4.316192,2.3005483,3.775496,5.958878,-1.6979961,2.6854165,-3.5960934,-0.1489318,2.0393102,3.5628412,0.39667726,0.30970514,-1.3827701,-8.075914,5.0160336,2.6723595,-0.5074474,-2.442901,1.497478,0.89723635,2.0758207,-1.1022745,1.4388955,-1.7894421,-0.26430905,0.43569908,-0.74320894,2.014872,-0.80341905,-3.2490158,-2.9713998,-1.8430061,8.4742775,0.83558345,-1.9782233,-4.21972,4.8075337,1.0796453,0.1329679,2.4122825,0.016514286,-2.9385657,-0.60078126,-2.4831107,-3.3472447,-0.86025417,0.89327383,-0.1885857,2.0286,0.591424,0.6889781,-0.76868945,-3.286418,1.0323117,1.8535249,0.6592219,3.8101106,-0.1371712,-5.5751076,1.6165048,1.7584882,2.1744452,2.5227087,-2.954457,1.1031195,1.121286,-0.95963496,-2.5806973,-4.0852513,-6.2676044,-0.9312619,-1.0975106,-2.58863,0.29724154,-1.0013387,2.369158,-0.32220387,-1.8638694,-1.0679556,3.9803097,0.8272523,0.70316744,-0.55463296,-0.036129177,1.709204,0.62073284,-2.0584276,0.88512814,1.9589115,-2.4478827,-2.7317615,-0.3445653,7.435437,-4.534498,0.26879084,2.8700185,1.3257668,2.6946845,3.7177346,-3.2537658,-5.241948,-0.6114117,-0.3001781,0.3371068,-4.6713867,-1.786439,2.6145759,0.23715334,1.4261193,1.7948602,0.5903021,-4.8903832,0.44029543,-7.835067,-0.78436047,-0.17368059,-2.44335,-1.7019423
DB00014,-0.092405654,-1.304006,-4.0561533,3.144655,-0.9536471,0.012512758,-2.2650266,-3.5744038,0.5709173,-1.0968274,5.575945,1.7113674,6.342327,4.1423388,-3.4347332,3.0207598,-1.3164285,0.39417875,2.7925863,1.6917865,1.1071107,1.3996046,1.6738566,-5.4177256,6.82565,1.4164376,0.6025623,0.24391156,2.6292102,3.1123662,0.4265775,-0.59334964,1.5804967,-1.4721014,3.6401315,0.606014,-2.2473457,-0.8643208,-0.9932366,-4.8500566,0.35253975,-0.41732815,8.518839,0.8927438,-0.19912279,-3.9348683,3.6511927,3.2320542,2.872194,3.3173184,-0.7562785,-2.264995,-2.903334,-2.7920396,-4.540776,-2.18564,0.72028387,2.024992,4.49225,2.5122106,1.826243,-2.1069157,0.44772652,-2.8944929,2.6005251,1.8842517,3.8913565,-0.38385394,-3.6159587,0.054190554,3.5432367,1.7152454,1.5491027,-4.0586705,0.14756055,-1.0762533,-0.73205394,-1.3047233,-4.4415793,-5.0143294,1.936879,3.4131923,-2.0843408,1.9403522,-1.09881,1.5707577,-2.6192048,-0.9132101,-2.3070905,7.3185353,-0.01204446,-0.18019666,-0.22085191,0.112756446,0.6272699,-0.12108367,-2.088267,-1.8770838,2.7866476,-2.3720496,-2.5250843,-3.3282225,7.37864,-0.5987941,-0.294224,0.25500178,2.5608575,1.8190459,2.0648441,-2.7591972,-6.067722,-3.1469223,-2.088745,-3.494189,-4.4505115,3.58843,4.6857967,1.507157,1.8287015,0.21487778,2.3134449,-4.1405687,1.2497494,-8.398551,-2.921909,-2.4265325,-1.4514815,2.0754755
DB00027,0.72664505,0.19274056,0.8759754,1.148338,-1.1554365,-2.4597461,-1.292266,0.23084545,1.3524585,-0.8604379,2.1343157,0.22900435,2.378236,0.46672902,-0.17427254,3.1268592,-1.084674,0.9198178,1.5237418,0.44083077,-3.7643986,1.8285822,3.227656,-4.7923455,3.7026587,4.4348226,-3.6779368,-2.1120749,-0.9894474,1.4050698,1.9430543,-4.883422,0.73071873,-1.77257,1.4516674,-2.0244682,-1.1220111,-2.2202659,4.300169,-3.3105412,0.17876792,-1.4029151,6.9361863,-0.609698,-3.382739,0.022276834,0.8498868,-1.6607212,1.0916103,6.046828,-3.588437,2.5659504,-1.3308789,-5.045194,-0.56565773,0.541716,1.1870008,-3.2523963,2.7728248,0.21567616,0.69342804,2.3402207,-2.337464,-1.3489671,1.9774765,-1.1031772,1.4287193,-3.8120866,1.138132,1.1450353,1.4074557,2.738843,-0.7604201,-0.5971795,1.8029325,0.16676578,-0.65435374,2.8203394,-1.465003,-1.3380349,3.5046613,-3.02186,-5.565331,2.652827,4.028984,0.6822483,0.5492433,0.7446011,-0.011177692,0.88999474,-3.7475126,0.36182457,-1.4505975,1.8881062,0.4048723,-1.0925175,5.1612654,1.2712449,-3.7711957,-3.31362,1.5747209,1.5123159,1.0504401,-2.6395855,-1.6280979,-1.7036337,-0.89370656,2.9005382,-2.0768645,-2.8544247,-3.6869328,-3.1674035,1.4696949,-1.0048928,-4.379411,-2.8223698,2.0939968,-2.9000354,-0.40218002,4.473112,-0.2490161,-0.52420527,-0.0455944,-6.3750787,-2.2878096,-1.055059,1.3084205,0.49637362
DB00035,-3.0843828,-3.4624994,-1.7377115,2.7971046,0.52318645,-2.9554596,0.43750635,-2.9261808,3.695968,-0.8221533,4.3155527,-2.0200894,-6.6746254,1.1885244,-1.7706357,-1.8869504,1.2832037,3.398373,3.072138,-1.6559477,-1.0642022,0.5075668,0.6383437,-1.4268984,1.8151176,0.6745401,-4.2272105,-5.2676606,-1.0610328,-3.2309992,0.9905318,-6.1955843,1.7262391,-1.9765236,-1.6539149,2.0519826,4.357852,-1.7663989,1.4894795,-0.37602365,-0.8754485,-0.42368966,8.151335,-2.787558,-3.664345,-2.422603,-5.0056973,-4.1573906,1.8748958,0.42266235,-3.3206196,-1.4229314,-3.120635,-0.38530114,1.9488723,-2.3939888,2.277128,0.20328023,-0.4675603,-4.9408927,7.842963,2.7455935,-0.9360743,-0.90095985,2.7730403,-1.8979161,1.9033343,1.9007714,0.7326628,0.6872148,1.0505193,3.2476583,-1.0811492,0.99154294,1.029678,2.700959,-7.1555715,-0.6343723,-1.8028275,1.3696587,3.4392014,1.3871876,2.1304424,-2.1695883,0.22170879,5.1684804,-1.2436955,-0.982147,-4.0832977,1.6695166,2.635936,0.48799387,1.3423011,0.9468213,0.6436565,-1.3848243,-8.105642,-0.04537613,3.8982153,2.2462218,2.086473,-6.101079,1.9977014,-0.5760445,-0.15285453,-6.030404,-2.782409,1.1636142,1.378435,-3.8332412,-4.355055,-1.3211483,-2.343984,-0.40880382,4.302505,-3.825149,-3.0305958,3.5937839,0.57705724,0.44599834,4.345503,2.0599666,3.2236109,-0.9399375,-2.890207,-1.8792744,-4.628693,-2.4202726
DB00050,0.69290715,-1.437537,0.9293195,1.7368492,-0.30941063,-6.310363,-0.49290487,0.53893745,-0.2924841,1.1472595,0.28970957,3.265273,3.1241791,1.4327563,-6.9249754,0.08519777,-3.9115765,0.8701459,-1.7337155,0.8329855,3.2599816,1.1827959,1.8075315,-6.837157,2.8300772,-0.103997774,-1.5118668,-1.4304972,-1.1495876,-3.5094914,3.2643206,-1.1195911,1.5320537,1.3621067,-0.5726838,6.077995,0.89175403,-3.208234,0.049535297,-5.944101,0.8992524,1.1645269,8.278562,-2.035838,-2.2455206,0.24001724,-3.1705108,1.5121715,-0.7307026,1.2693338,0.23313574,0.04289623,-3.5752256,-3.722161,0.32297608,-2.3298726,-1.497077,1.3279856,4.8662877,0.83071953,1.4895164,-3.2804623,-2.045308,5.167305,-0.62629753,2.5951052,-1.2464774,-1.774376,-5.1072206,-0.23766746,7.138337,3.5330427,3.542514,-1.8765981,1.612301,-3.7263799,-0.3507834,-3.06226,-2.7266922,-5.9591837,1.9352065,0.033032797,-3.3655772,4.9120827,-2.4674847,1.8469179,-1.427874,-3.8068154,-2.1262019,3.883958,1.9191228,-1.566218,-5.1821613,-2.4386034,5.877394,-2.6926126,-3.318563,1.5452569,4.9142065,0.577668,-2.651174,0.20433365,9.698948,-4.292136,-2.0422983,2.3627746,-1.2173768,2.328973,-2.5502033,0.6323895,-6.5922036,1.1163332,-5.101375,-0.9998776,-2.8878205,0.19702324,1.0216422,1.1891439,0.47413656,-2.5597384,-2.2158628,-5.8905487,-2.962242,-6.149844,-1.3907831,-1.3956307,-5.280752,0.14967689
DB00067,-2.948764,-3.333433,-2.5527747,1.3283787,-1.0070562,-2.7982376,2.1404176,-2.5977783,5.3931904,-2.1882842,2.0117068,-0.5424294,-4.8718033,2.4658144,-2.352166,0.09712181,1.6244699,4.5627437,4.0961475,-3.0964441,1.9313918,2.4017766,3.908761,1.9983914,5.651087,0.8163683,-4.4606733,-6.987989,-2.3253744,-4.0352645,3.7573507,-9.56048,0.05817625,-1.1565393,-1.4590105,1.0244809,2.538232,-3.8421216,1.8656524,0.27915725,1.2908932,0.5987223,11.150552,-4.7806816,-3.617026,-1.2414038,-6.2658343,-6.0875683,4.900899,0.15662225,-3.999783,-2.438631,-4.7650337,-3.49696,2.896492,-3.7832723,3.681099,-0.3890305,3.3881972,-5.5367208,9.985833,1.3343549,-1.6577271,-2.559821,2.9864388,-0.6004729,2.562561,1.9854598,0.6084644,-0.2081022,1.5460074,2.4722528,-1.702258,-0.26962614,0.5414449,4.0370274,-7.154929,0.7896493,-0.91529506,-1.0682178,6.5160027,2.732939,-3.0675945,-2.9747422,0.62147605,6.5593247,0.6131246,1.821933,-5.805352,4.9727077,2.402794,0.51131564,2.0656636,1.2847582,-0.6045411,-1.5574429,-6.8095236,-3.3325946,2.9740455,1.9635235,1.9475402,-6.4634604,1.6667892,-0.48525298,-1.1860005,-6.809286,-2.8980935,3.064927,3.1848006,-4.4097166,-4.7953963,-2.6760898,-3.366649,0.2567002,6.0129237,-4.443235,-1.636172,4.09501,-1.6214303,2.231163,5.9200015,2.162408,4.327622,-1.8617313,-4.8432255,-4.8640623,-2.0582824,-1.3399825
DB00080,-2.5609655,-1.9382392,-4.0728464,2.5879278,-2.9111097,-4.64883,-1.643341,0.10030611,1.5907269,-1.42654,-1.5988303,-1.767935,-3.8287456,-2.0252683,-1.486409,1.4021089,0.29393235,0.9378727,2.857695,5.7982984,1.1085163,-0.44835353,2.385562,5.242604,9.008399,2.200119,-3.314394,0.4925831,0.055455573,-1.3839898,4.86882,-6.196208,0.9596939,3.1472487,-5.8983803,-2.6343467,2.1984756,-1.6258147,3.5365705,-0.2000941,-1.8852894,-2.5124567,5.646654,-2.1358454,-0.6874863,-2.0279205,0.46605855,0.7969391,6.227114,6.433349,-2.1696894,-2.264431,-0.80310565,-7.6413236,1.1232814,0.0769516,1.4183472,-6.179724,4.146161,4.1870375,-6.434861,1.3757817,2.9522078,-1.6495281,2.334344,-3.8290954,-0.5992846,-1.3942939,0.3267507,2.0873625,2.415007,0.48398286,2.4120102,-0.3612301,-1.394354,3.7052622,6.1709847,-2.2584488,-0.9949984,-1.9013289,7.5690947,-1.6965317,-5.110942,-0.41560584,-3.1562853,-3.59687,6.057842,-0.7566377,1.6108572,1.6394197,2.83937,-2.7170272,6.7359347,5.179937,0.24001597,-4.6530085,6.460193,2.5284402,-4.9785995,-3.7717524,-5.069164,-0.9470799,-0.53917426,-4.1160355,2.078615,-1.4919426,-5.5498137,0.88516146,3.2884738,1.9035422,-6.33658,-0.3536772,1.9834474,2.057854,-7.8638983,-1.0205513,0.1914017,0.03804769,-3.783448,2.9732716,-3.3720198,-0.6766788,1.3545514,-4.1486235,-7.8094454,-0.7564177,1.883953,-3.7584147
DB00091,-6.665055,-4.8526444,-2.354466,0.80965316,-0.20243834,-2.2856371,-3.2673526,-0.95637876,1.2637346,-3.040587,-0.7238202,-4.9960117,-4.8291802,2.5040576,-2.289866,5.8447194,-1.4745615,6.1612206,2.1556008,-0.06370609,-2.6801088,-2.0902362,6.1138644,-4.4214625,-1.9251975,0.32968238,-3.2978337,-1.9056289,-0.26798168,-6.3157406,6.8468256,-1.829086,-4.2007074,4.3434987,4.894865,-2.7914615,-7.221646,-4.866245,4.857551,1.7583872,4.505658,3.105789,-0.96788806,-2.1605468,-3.871455,-0.8630269,0.92546,3.1136842,0.48730513,4.3460813,2.977682,3.467835,-3.0042613,-3.4981499,-0.43103737,0.11207375,0.98222005,-1.3162259,-1.6559536,-7.464535,-0.73353744,1.6379794,-1.2958853,-1.1051455,-3.907809,2.0476508,2.8696423,5.4198427,1.401399,-3.1369267,3.8374293,-8.751041,2.5042915,-2.218309,1.6364603,3.3744872,3.9055252,2.7589862,0.10841921,1.1081604,0.10991931,1.3429933,-7.982051,-1.7585378,4.831134,-3.0428336,-0.46742988,-0.41299447,3.3780603,-3.2398527,2.3698134,-1.1333963,1.6385024,1.5619966,-2.0429242,-3.4759426,-1.7754357,-0.5990532,3.4113183,-3.0717702,-5.498172,-2.375406,-0.11535037,-1.0034236,-6.3294983,-11.914502,0.10708175,4.0564694,5.9371696,0.8064695,-5.09237,0.8773451,3.410142,-1.3782477,0.45565343,3.7718112,4.672914,-8.843999,2.3687606,-2.5495987,-3.5137734,6.3063045,0.41498014,-5.9686017,-0.45275307,2.1443014,-1.6125623,1.0862551
DB00106,-0.45043543,-1.3440626,2.019352,0.49745452,0.29233867,-6.855329,-0.91303945,0.13249592,0.6590037,1.1226643,-0.8327801,2.2058942,4.258454,-0.6181597,-6.9267163,-0.8170488,-4.0039387,0.7409874,-2.025821,1.3284519,4.159907,2.9249449,1.7734096,-3.9045863,2.9335213,1.0136013,-1.1557511,-0.5936601,-1.5293705,-4.1360803,5.1688643,-2.2473614,0.04296823,3.4256606,0.768148,4.2710843,-0.320045,-1.8628366,-0.035580948,-4.107613,1.3113034,2.5663996,8.026502,-1.8955678,-2.8702457,-0.6111689,-4.211199,2.1391404,-0.790578,1.3826151,0.11129475,0.22620818,-4.268182,-5.597685,1.3313841,-2.131805,-2.1313205,1.0184273,5.4592834,1.1452513,0.94804925,-3.439557,-1.3668596,4.182163,-0.24969186,3.051421,0.48924026,-1.5486051,-4.2283797,-1.7615775,7.8050184,0.37219572,3.8083317,-1.9800627,1.1961516,-4.7241735,0.77290505,-3.4557004,-1.6056755,-6.509512,2.8831651,1.0092047,-5.1546607,5.852933,-3.4617088,1.1137235,-0.06558643,-2.935197,-1.7462933,2.9204516,1.9172179,-3.130278,-5.8238716,-3.1406872,6.136005,-1.469355,-2.2268288,3.1855376,3.252075,1.0725975,-2.1422997,-0.7248544,10.89794,-3.5095847,-3.9041872,2.3515537,-1.5959637,2.9552464,-1.2172971,-0.06459365,-4.420329,1.7413568,-3.1404335,-1.604122,-3.3435152,0.2464088,-2.0464377,1.0060753,-0.47493505,-0.9354062,-4.9128385,-5.3074365,-3.6464863,-6.155185,-0.71713006,-1.9097204,-5.7102313,1.6177341
