drug,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
BORTEZOMIB,0.18966812,0.5388647,1.5640863999999999,-0.03826738,-1.4185014,-1.9468005000000002,-0.25604498,1.0408171,0.7096245,-0.66416407,0.6535082,1.1505185,-0.89670306,-0.087480545,-4.1195703,1.0866132,0.2095723,0.060208372999999996,1.0703764999999998,-5.187091400000001,0.5574838000000001,1.6575119999999999,-2.1701026000000003,2.0511327,0.6440854,0.8077012,0.95680046,-1.3927163999999999,0.62019545,0.92370945,-0.17147174,2.1965716,3.2559028,-1.0649313,0.8852609,2.5291479,-3.2260063,1.119478,3.4652731,0.38510659999999997,0.69746447,-0.7024977,-1.1367979,-0.58719003,-0.5812571999999999,-0.8995908000000001,-0.16660870000000003,2.1263607,-0.00432723,-1.5080091999999998,1.7245282,1.4500263,-3.6872647000000005,-0.043815352,1.0992441000000002,1.0587146,0.2532834,-2.996591,2.1635914,1.6116903,-2.0301535,0.11298129,5.2101120000000005,-0.6844671999999999,2.0477161,0.14479494,0.9747,0.72715956,0.4042945,1.0480601999999999,3.2388024,-0.8651376000000001,-1.1993316,-1.2416065,-1.6399286,1.3542877,1.8447431,0.045461252,-2.3266953999999997,-0.57356703,-0.5657536999999999,-2.115796,-2.2310035,0.07371677,0.12456548,0.98140055,-1.5446855,0.8643126,-0.77451414,-1.2906718000000001,-0.03310883,2.3431556000000002,1.9271502,2.3253052000000003,-0.59610987,-0.43694928,-0.62793535,1.1763647,0.04969559,-1.1877311000000002,1.174139,-2.1921932999999996,1.516367,0.96351796,1.1261164,1.3648616000000002,-1.7800881000000002,-0.09955113,-1.2516633,-2.1854491,-3.6600828,0.20740561,-1.3606056999999998,-2.5307492999999996,-1.4686323000000001,1.6627796000000001,-1.3874953,-0.7397179,-0.41407704,-0.3894194,-0.4652453,-1.235095,-0.72858447,0.41083980000000003,-0.34391946,1.8783523000000002,-1.5944593,0.46798977
MITOMYCINE,0.58379906,0.8184672,-2.1937861,2.0305436,2.6326772999999997,2.1023402,1.1613481,-1.8871423999999999,-0.111422054,1.3973196,1.9532557000000002,2.9013472,-3.5712367999999994,-0.19680333,-1.1303116000000002,-0.82990134,2.5959456000000003,-2.7285334999999997,-2.1548789,1.4025408000000001,2.54351,-3.016481,0.7260423,0.68119216,3.2147197999999997,5.946375,0.6829268000000001,1.6302086,2.8945103,-1.2246952,-0.17279449,3.4477919999999997,-1.5483892,-1.6487403000000003,-2.8712676,1.2536668,1.1169257,-1.2323676000000001,-0.9048689,-2.9781864,3.5024927000000003,-1.091896,1.149656,-0.8229257999999999,-1.6762869999999999,-3.5801892,0.15102583,-0.99127305,3.0034833,-1.0700908000000002,-1.9517908,0.377603,-0.86868715,-0.5957871,2.0287610000000003,0.9994521999999999,0.12506694,2.633565,-1.3727394,1.3908961000000002,0.31075826,0.015400436000000002,-2.2291281,-2.0733988,0.30822915,-2.0619419,-0.39202309999999996,2.041417,1.3310053,-3.0545895,1.3004056,-2.229853,-1.7167343999999998,-1.7271073000000001,-2.5395423999999998,0.51692504,0.17936718,-0.45401767,0.35564850000000003,0.28622752,2.2097623,-0.32227987,1.9726342000000001,0.29661688,0.43243247,-0.2570598,0.0035823416,1.2866379,-4.373356299999999,-4.0201516,2.733716,-1.5186347,1.367789,1.6036608,-1.1065288,-0.18623579,-1.2416589,0.6855032,2.2380183,2.3587337,1.4912201,2.7058582,0.7627267,1.7298628,0.7006545999999999,-2.5918753,-0.47286066,-0.7086803,1.1797408999999999,-3.8014980000000005,1.1132758999999999,1.0089386999999999,-0.698905,-2.6101229999999997,-1.1754332,-1.4181107,-4.0267935,0.08305548,2.4296455000000003,-2.3775623,3.883947,0.66106224,-0.12509534,-1.6885700000000001,3.5976405,0.061880899999999996,-1.6404195,0.0037063359999999997
METFORMIN,-0.89908385,-0.19298127,-1.2695626,-0.6211196999999999,-0.28024083,0.1020688,-0.3137545,-1.2477999,0.36195907,0.30479429999999996,-0.17278658,-0.57454455,0.48142958,1.0834707000000001,-0.8334475,0.506662,0.89459884,-0.56063443,-0.6583915,-1.2904496,-0.43085694,-2.3301315,0.80741894,-1.4051987,-2.1912992,-0.56312084,-0.3318958,-1.5659437,-0.98364455,0.55481637,0.1997712,1.2284325,0.70950645,-1.3781486,-0.57938683,0.27566153,0.35217625,-0.14004764,-0.26676659999999996,-0.8677943000000001,1.3960162,0.5925674,-0.051359203,0.89969534,0.35380402,-0.7731385000000001,0.11525983,0.12243049,0.20343085,-0.7218498000000001,-0.36027044,-0.06455253,-0.16033301,1.0875237,-0.9925784,0.36755082,0.2959299,0.66597176,-0.55689806,-1.0622473999999997,-1.1123648000000002,0.63655454,-0.57281893,0.43502170000000007,-0.18912368,-1.0959611,-0.17703323,0.37015796,-0.9959710999999999,0.12527591,-0.03590762,2.034144,0.15819508,-0.48462296,-1.8334279999999998,0.07654144,0.45065725,-1.0409111999999998,0.5652618,0.71371233,1.0155386,-1.0605283,-0.5980551,-0.07566275,0.21856971,-0.34431136,-0.22528331,0.32344052,1.3482926000000002,-0.5896788000000001,0.011725679,0.97742575,1.046419,-0.10269191,0.54881626,-1.5775371999999999,-0.533704,-1.1335629999999999,0.17814481,-0.059611112,-0.74913555,-0.35967082,-0.220664,-0.48632652,0.11587026,-0.07472982,-0.46282634,-1.4682191999999998,-0.34725344,-0.33531493,-0.00071839243,-0.5451915,-0.2776655,-0.13161871,1.0729574,0.11170104,-0.11377446,-1.0290619,-0.51359797,-1.0374321,1.5992115,0.40397167,-2.0424066,0.5245966,1.13725,-0.358981,-0.55905676,1.4145857
VINORELBINE,-2.8382227,4.897028400000001,-5.287399,2.734108,1.6801398,1.7682096999999999,5.0561275000000006,3.1139567,-0.32151654,-2.7973784999999998,-1.2885575,1.3411181,-2.0600421000000004,-4.089309,0.031764533,-4.407565,1.0189434000000002,2.0844526,2.8913305,7.545649000000001,-1.0913935,-2.7483885,4.633776999999999,1.3534012,-2.0188363000000003,3.0252060000000003,-2.478552,5.581156299999999,1.7515049999999999,2.8655338,-0.34101993,-4.903291,4.0401917,0.83190364,-1.4993074,-0.45834723,1.4406506000000001,0.9614625,7.4500785,3.2474939999999997,4.3221169999999995,-2.9886837,8.706852,-4.9398203,0.58226985,-0.45517522,2.9431055,4.4217033,-1.4939554,0.6866863000000001,1.141836,-3.9367952000000006,-3.9448016000000004,4.453736,-4.113299,3.4304876,-2.8189716000000002,2.257045,3.0971484,-3.0271149,1.168094,-0.71027005,-3.018336,-4.013978,-3.6677367999999997,-1.3452255,-2.562967,-0.6898885,5.2484484,0.17428951,1.5694251000000001,-5.62103,-2.909691,0.5673401,-2.8009527000000003,3.8876755,-0.5267881,1.2524619,-4.6375747,1.2403191,-4.6138334,3.3351898,0.8037472,-2.2894742000000003,4.0041566,-6.6435595,1.6343803,-0.45101622,-1.6675968,-2.479217,0.931225,3.383557,0.50314057,2.198219,-0.7772772,-0.44209063,-1.1070349,4.07149,-1.890196,-0.7837888000000001,-5.879883,3.8935623,-0.766854,0.59459233,-3.3424410000000004,-1.3004323999999998,-0.062056966,0.68563414,5.797946499999999,-2.0566983,-6.1389112,3.3589272000000006,-1.6453552,1.2216343,6.2011642,-2.5059457000000003,-1.5996376,-3.1509313999999997,-3.3367236000000005,-2.6769477999999998,4.896052,-5.572973,-1.8013824,-3.9804418,-1.4507295,2.0857055,2.791045,-3.4112419999999997
SORAFENIB,0.45408544,-0.44896734,1.626191,-1.569616,-1.537769,1.1543839,-4.7137127,0.22427839,0.98806,-2.4963102000000004,0.8216562,-1.1611313,-2.0421386000000004,-2.558694,-0.85157293,0.23341236,2.281261,-3.7065113,0.011174528000000001,-0.74435765,-1.0210314,2.5397189,3.2043996,3.299087,-4.1873426,-0.13707986,-1.9859868000000003,-1.7640231,1.4529755,-2.0738463,0.5837434,0.6827588000000001,-2.776308,-1.1945767,-1.7618884,-2.7926363999999997,0.85836816,1.463563,-1.2922361,-3.999367,0.47436809999999996,1.3140163,2.2137156000000004,1.7137188,-0.24111402,0.9019185,-1.7789243000000001,-0.4882351,0.7331278,0.016026378,-0.3792042,-0.0355499,-1.3419801000000002,-3.3042165999999997,2.6852232999999996,-0.04152185,-3.4762638,0.9050643,-2.3013,-2.9416057999999996,-1.5098046999999999,0.41434243,-0.467794,0.88122857,1.4901361000000002,2.9034677,1.9266857,-2.1505837000000003,-0.9349437,1.1664348999999998,-2.2792692000000003,-0.35783464,-1.3102491000000003,-1.6870298,0.84439856,1.4265121,-0.19418605,-2.8014584,-1.9827795,-1.5017208999999998,0.22822765,4.2069364,-2.1307766,1.2675009,-0.17293733,4.1018042999999995,-2.0860305,-1.2306101,-2.5456307000000002,-1.017447,-0.10360367599999999,2.3281066000000004,-2.4268572,-1.2017997999999999,1.260186,0.10184543,0.10139184400000001,1.0474296,-1.4017537,-1.9151523000000001,-0.058891177,-1.3449616000000002,0.051571965,-1.9425952000000002,3.8777517999999995,0.61291105,1.5303338,3.7785566,0.25214708,-0.29500540000000003,0.21448407,0.30311546,-1.9933506999999997,0.38090774,2.0159206000000003,2.6561053,-1.7697173,-3.0806093,0.012273006000000001,-0.83011365,-0.21631947,1.7175324,-2.321798,0.63520277,-0.8108850000000001,-1.3156872,-4.4439993,0.39267978
GEMCITABINE,-0.41728818,-1.1602953999999999,-1.7682080000000002,-0.21264789999999997,0.111042544,-1.8232388,-0.04996206,0.94841695,-1.5765964,-0.9499445,0.65875155,-0.0047403015,-0.8574484,-0.85920596,0.13586205,1.0745683000000001,-0.023154233,-2.1454957,-0.6113856,-3.762953,-0.3814587,-2.19798,-1.619475,0.46551415,-0.5320159000000001,1.5619513,2.4293022,-0.66105473,0.6812519,-0.70009744,0.47325134,3.1429148,0.22606051,1.5574187,1.2587357,-2.101943,1.598902,0.6202506,-1.0527965,-1.9635372,0.3959583,-2.7365706000000003,0.22756279,-0.14537677,0.32976547,0.9344258,-1.4188618999999998,0.2149584,-0.3951618,-3.6954290000000003,0.9070389000000001,0.36076018,1.9146789,-0.13717014,2.0395381,-2.574334,-0.29806656,1.6825525000000001,0.7318670999999999,-1.1114142,-1.4845165,-1.1760311,0.49331188,0.044510825999999996,-3.1976945,-1.9700348,1.2704291,2.3869022999999996,0.10924008,0.75935876,-1.7923973999999998,-0.6395365,-0.17235243,0.293072,0.0060707703,1.2815496000000002,-0.69220793,1.87687,-1.5549568,-0.8969176999999999,-0.6163010999999999,1.0515217,-0.6728284999999999,0.6817382,0.23641489999999998,2.6265635,-1.8557373,0.32752040000000004,-0.5771101,-4.624861,-0.33303119999999997,-2.178491,-1.1794243999999998,0.964158,-0.19538254,0.40306467,0.62426174,2.1859257000000003,-0.07539177,-0.51060313,-1.1523565,-0.77543503,-0.34879905,-0.36825576,-0.798884,-0.12169026,-1.3544581,-1.3491225,2.6685,1.9718679000000001,0.22448258,0.7925146,0.1682146,-0.47799978,0.038957074,-0.057653688,-1.2830257,1.9170166000000002,-0.6619338,0.09716157,1.5593157,-0.43759578,0.080498494,-2.2710445,-1.9822398,-2.158169,-0.36952898,0.2804379
OXALIPLATIN,-1.2084895,0.7355379,-2.0096586,1.5863976,-2.5609481,-0.54993576,0.7814489,-2.452954,0.05454168,-0.40223208,0.47695988,-1.4067347,2.1898227,0.095699206,-2.5507693,0.25011083,-2.645261,0.25322992,0.8734036000000001,-0.20575382,3.6330779000000004,0.9035915000000001,-0.8663658000000001,1.3851468999999998,0.08075287,1.1211026000000002,-1.2728959999999998,-0.39930573,-0.8249139000000001,0.6149697,-0.57499945,1.7426677,0.85387427,-0.08856368,-0.5036241,-0.35282722,-1.758478,-1.2319406000000002,-0.09163713,-0.76496273,-3.5416055,0.5060935999999999,-0.8312306999999999,-2.3383777,0.34731528,0.46356833,-0.40124148,1.4486003,0.825925,-0.66170883,0.38545,-0.37429646,0.50315607,-0.7610701,1.0129264999999998,-0.8313995000000001,-0.6781965999999999,-0.6955464,0.34008256,0.31042042,-0.31915486,-0.42523775,-2.8255093,1.4635619,-1.0597341,1.8378307,-1.1227206,-0.9760344000000001,0.5793028,1.6352946000000002,-2.1305447,2.1108978,-2.2633095,1.1789261999999998,-3.8879926,0.07246549,-0.122812524,-0.33399470000000003,-0.09679313,0.08076327,-1.8991463,0.2133165,0.34408003,-0.35474807,0.28004247,0.4246094,0.72927153,0.8426304,1.4071453999999999,0.32308468,1.6810223999999998,1.1524148,0.9817698,-1.666693,-0.81303906,0.0020538978,0.04536259,-1.0978795,-0.65053374,0.11840176,1.7344446,0.48583815,0.552579,-0.35640493,0.75491697,-1.8691727999999999,1.7964596000000002,0.6884883,0.7609993,0.611624,-0.3489824,-0.9908253,-0.30632442,-0.017963652,1.7084110000000001,0.69018817,-1.0796223,0.54541737,-0.14442816,1.3757175,0.16367486,-0.9771847,0.49051616,0.37189394,0.25903073,0.10825984,0.3057241,0.37626383
ERLOTINIB,-1.1556084,0.3459647,1.943804,-0.05784019,-2.153864,1.5733938,-3.9906212999999995,2.7965698,-1.9275409,-1.0316468,2.337322,-2.0644658,2.8458157,0.0721948,1.9129965,-0.64086443,-0.24768318,-2.7292132000000002,1.4187246999999998,-2.8516173,0.333943,-3.2173377999999997,0.56734025,-0.48613253,-3.1276283,0.7196494000000001,0.5959760999999999,1.9919685,-0.31160074,-0.37874162,1.0015258,-2.961635,-0.5500251,5.5381765,0.03872944,1.6071805000000001,1.312478,-3.2656548,-4.3089404,1.2328807,2.1110743999999997,1.0203881,-0.67879766,-1.6307395,0.22013960000000002,2.623507,1.8973839,3.1771152000000003,-1.7746142,-1.4926887,1.7154789000000001,-1.4690058000000001,-0.4333351,0.9814358,-3.567945,0.88659185,1.3500707,0.041879557000000005,0.28102675,-3.2169516,-2.1240115,0.37204102,-0.8810146999999999,-2.1615033,3.4813928999999995,0.48883116,0.29137772,-2.5171967,3.1220374,-1.8319435000000002,0.49381685,-0.7340808000000001,-0.14774829,-0.22914341,-0.35133302,-0.8332357,-1.7686819,-0.55430853,0.9265559000000001,-0.22725229999999996,-1.2172155,-2.3443873,0.619163,-5.2471185,-1.2531495000000001,-0.10924287,0.73175263,-3.0884526,-1.0336404000000001,1.1762742,-1.0943205,-2.1274989,-1.1751964,1.5816333,-0.68811977,0.2545509,1.8707828999999998,1.822086,1.1498681999999998,-2.2839150000000004,0.10075079,0.2554604,0.26284266,2.576849,-1.6032481,0.88628256,-0.35619709999999993,-0.22319171,0.84090024,1.9004061,3.1705804,-3.9528122000000003,-0.1213478,-1.2411873,-0.65801877,1.3144151000000002,-2.2632747,-1.5423527,-4.511613,-1.5840546,4.6079473,-1.1004875,-2.3840284,-1.0623753999999999,-2.1437955,-0.11098836,0.5137035,1.9762119999999999
CYCLOPHOSPHAMIDE,-0.20613101,-1.4402037,0.65234035,0.77298063,1.788994,0.59724283,0.7729520999999999,-1.340907,-1.9962933999999997,0.48833877,-0.34145135,0.36684886,0.08156317,-0.8327460999999999,-1.6657848000000002,-0.54441303,-0.3540027,-1.7047085,0.40399808,0.72815615,1.330977,-1.5928892,-0.97008276,-0.15162054,-0.32798514,-1.7593256999999998,-0.24504286,-1.3353578000000002,0.3641238,-0.16044952,-0.739314,1.2320653,-2.22464,-0.7311211999999999,1.3498731000000002,-0.6493048,1.8620776999999997,-0.20756303,0.48525658,0.31101868,0.007347986,-0.19893928,-0.24613753,-0.082060345,1.8174034,0.60476995,-0.39131057,1.376331,-1.1818329,-1.6705256000000002,1.4441091000000001,-0.08774024,-0.020892762,1.0720266,-0.51189286,-2.1740556,-0.8956232,-0.21021222,-1.0934945,-2.0824317999999997,-0.7376515,0.005281831999999999,-1.4826713,-0.61182106,1.3651288000000001,-1.7157023999999998,-1.5768232,-1.5227141000000002,0.26650882,0.37786555,0.7240586999999999,-0.6288234,0.39503258,-0.88874733,0.13227887,0.92970103,0.29612607,-0.104279496,0.4448634,-0.38786256,0.31520808,-0.90572405,0.279711,-0.086987436,-0.7517587,-0.009478763000000001,1.2421155000000002,1.3377538999999998,1.4482620000000002,-2.3730662000000002,-1.7895208999999999,2.4096092999999996,-0.46688409999999997,-1.0917888999999998,0.61818194,1.5852771,-1.9726883000000002,-2.1298234000000003,-1.6444921000000001,0.7012604,-0.20216943,0.18974626,-0.34039795,1.139709,-0.9280715,-0.42988926,0.5713716999999999,0.47306395,-0.7163531999999999,-1.2806286,0.83649135,-0.44552678,-0.2898554,-0.15946629999999998,-0.3534817,1.1581457,-0.9935917999999999,0.03349002,0.95491827,-0.6051156,-0.68008584,1.1105725,0.17487341,1.5567944,-2.719769,2.0831301,0.6142466999999999,0.08766473
5-FU,0.032161057,-0.43738616,-0.84629136,0.465388,-0.4474943,-0.8185845,1.0805162,-1.4397944,-0.75736946,0.47854096,0.28871894,0.06562758,-0.9218415999999999,-0.53974116,-0.7629405,0.35521576,-1.5843903999999998,-0.3198248,-1.8864874,0.5276919,-0.8192456,-0.58702445,-0.25332502,0.5285189,-0.6140273,-0.9693423000000001,-0.39889944,-0.9420482,0.63989204,0.64843154,-1.7421172999999999,0.6267341,-0.67484933,-1.4479486000000001,-0.5094065,-1.4083948,0.16333231,0.48695839999999996,0.3899297,1.7100611000000001,2.0018206000000003,-0.10675792,0.44000852,0.25185734,-0.0025551394,0.4942126,-0.7492116,1.5969687,-0.6999767,1.2137833,0.6319232,0.12400611,-0.12096073,0.36032495,-0.5361130000000001,0.31729767,-0.00796292,0.035069864,-0.46874806,0.12366226,-0.26506808,0.28124154,-0.22999403,0.073150545,0.16263376,-1.4390942,1.6094263999999998,-0.061940443,-0.78948814,0.6463161000000001,-0.9695703999999999,-0.9434353999999999,0.5056164000000001,0.03772411,0.42414486,-0.027937315,-0.21961908,-0.9946325999999999,-0.71076894,0.3746791,0.7115588,0.4902997,-0.8061884,-0.5586849,0.085999936,1.8791074,-0.08098335599999999,0.46416962,0.49556428,-1.3695012,-0.8630093000000001,0.9956049000000001,-0.15843081,0.07056215,-1.0354446,-1.6382071000000002,0.3527002,-0.4084062,-0.6931915,1.153198,-0.46093076,0.5133544,-0.6896259,0.05993112,1.1561774999999999,1.8892258000000002,0.63426924,0.49702454,-0.6759732,-1.7149299999999998,1.3623353999999999,-0.23925844,-0.038041152,0.13432020000000003,-1.5478709,0.46044862,-0.22066702,-1.2957895000000001,0.53684425,0.5764179,0.38747832,-1.0366015,0.49801287,-1.2632331,-0.22851704,1.1417822,-0.8461185,-0.26901020000000003
